0.090136172080916+0.000000000000000i,0.114401463091350+0.007077233148813i,0.128829131476513+0.019394279040536i,0.128094831380518+0.033332578598086i,0.112099201775064+0.043604473112397i,0.086545154426810+0.046439663831557i,0.058933857904190+0.042927933582593i,0.031741943345591+0.034378057323329i,0.013792620845514+0.015212081036335i,0.023573728937145+0.006717201558987i,0.010896515190373+0.040741582496073i,-0.063867722127165+0.009966959241891i,0.002080294181669-0.107648187041680i,0.163237846730414+0.023604682799170i,-0.058417271199741+0.218371254043034i,-0.260192543175980-0.103458076793036i,0.148317361617446-0.276758493311363i,0.262851653605464+0.180187030044014i,-0.189711770615375+0.223056868239546i,-0.169326599877618-0.175317539334981i,0.143402734739550-0.115183460533835i,0.070386126991998+0.104482953557295i,-0.068175802349019+0.038768519268613i,-0.019327656894160-0.040038396394747i,0.021265281619754-0.008760270460607i,0.003622540785089+0.010261442763771i,-0.004517340045567+0.001367451234714i,-0.000468878329158-0.001820173257801i,0.000672597853697-0.000144050406684i,0.000038556957564+0.000228025640574i,-0.000070840547857+0.000008473386228i,-0.000001291467416-0.000020108888630i,0.000005129967315+0.000000000000000i,-0.000000400623412+0.000001020273659i,-0.000000964921496-0.000001580424052i,0.000000951565058-0.000006971802624i,0.000016665656016-0.000020006103898i,0.000083142687567-0.000027832992878i,0.000260054928326+0.000059142793164i,0.000529777405131+0.000505701860068i,0.000501527017181+0.001744664489154i,-0.000952921956543+0.003947639014607i,-0.005525183383709+0.006064118322172i,-0.014089175573588+0.005109567796448i,-0.024675686479558-0.002826667232807i,-0.032004257007674-0.019638171714757i,-0.029990855502040-0.042774743137363i,-0.015220524422581-0.065897483880807i,0.011706074678097-0.081448969798506i,0.046307576128795-0.082282846132055i,0.079431706638937-0.063437174906546i,0.098015371503347-0.026784801054568i,0.092004216450388+0.015330135336318i,0.063525145118815+0.045269002098725i,0.027362445320555+0.052458265191390i,0.000132609375791+0.040588116817302i,-0.010969610014631+0.022368601462194i,-0.009447897083818+0.008655483651058i,-0.002591496163256+0.002719781052324i,0.005032283666964+0.002050525980904i,0.013184159131171+0.002741758950135i,0.024220840360688+0.002258976049584i,0.040744398909640+0.000261139957335i,0.063561304716802-0.001489359243049i
0.164176509184682+0.000000000000000i,0.174742974183628+0.021431791747938i,0.165888449034303+0.041863624976992i,0.140158443712321+0.055270363335891i,0.105066269152460+0.058430788004463i,0.069506954716860+0.052151020887487i,0.040186432852017+0.040059138689845i,0.020376761994625+0.026536712617905i,0.009779421084312+0.016153157151666i,0.002496502978713+0.011277329219204i,-0.006546459985707+0.002752950804541i,0.002753138185526-0.014689239665029i,0.032783946245011+0.007851360308253i,-0.018288350797283+0.059800110683576i,-0.096215311226317-0.040003286123131i,0.076204075945767-0.137102365289468i,0.171695633933177+0.125581680332207i,-0.179853975334357+0.187566825611719i,-0.176921395131776-0.224844744317903i,0.246262699974896-0.141535796875820i,0.092552560304186+0.236961271657665i,-0.200700882233188+0.044814740533206i,-0.009638320653972-0.149786724612817i,0.098520766815119+0.009231536500094i,-0.014752345129970+0.057063968819109i,-0.029045708550635-0.012766062178380i,0.008415638529018-0.012942472120477i,0.005014703824332+0.004579876888090i,-0.002123935421469+0.001669377949076i,-0.000466513035433-0.000852494829254i,0.000298647083787-0.000103801587196i,0.000015514571069+0.000091746549582i,-0.000024816735269+0.000000000000000i,0.000000818480452-0.000006058085476i,0.000001176696473-0.000000824709328i,0.000003505187824-0.000004295937715i,0.000023918512924-0.000005233404646i,0.000085142048168+0.000039731271043i,0.000157468317012+0.000283921815269i,-0.000104843548959+0.001003860637473i,-0.001820743699128+0.002155125639465i,-0.006812345438565+0.001971837417808i,-0.015331849111085-0.004712760520688i,-0.021001999148203-0.025009795995851i,-0.007711170239434-0.059398928513725i,0.041867791458908-0.089719858832657i,0.124121747269279-0.079812059369545i,0.198393275068450-0.002207068033981i,0.205568545001996+0.125256782517891i,0.118642398847311+0.235441975272167i,-0.023102388444831+0.259695858547920i,-0.139659750520977+0.186321304006704i,-0.174879770897017+0.068586388601399i,-0.134702636155197-0.024520066708588i,-0.066920490113997-0.060610046975508i,-0.014572873101631-0.052391962668207i,0.009350254242426-0.030001081647805i,0.014862003914291-0.014152392377724i,0.016806711198846-0.009840946444695i,0.024706933372379-0.013478763794069i,0.042249596199883-0.019977847435762i,0.069463366047880-0.024982411757557i,0.103378624978010-0.024724282170364i,0.137779743914892-0.016475405158669i
-0.155254179852785+0.000000000000000i,-0.179905872604098-0.022952017941898i,-0.184856489167390-0.049793391920508i,-0.167640441286309-0.072293438379231i,-0.133453680547568-0.083265398297716i,-0.092460555481607-0.080256504553758i,-0.054932655495339-0.065959851345807i,-0.028146461724278-0.046594974258418i,-0.012645755758422-0.030836753743787i,0.000631053914786-0.019460657082551i,0.006625038612722+0.000977620062983i,-0.017757967389494+0.008608626817498i,-0.018050310417431-0.036044073276389i,0.060142198269020-0.025740849253290i,0.030129425526317+0.092851612254673i,-0.130154647281873+0.029551826376217i,-0.021948797037651-0.164582533527291i,0.187713991096086-0.007525233832173i,-0.010528405368954+0.193019278328164i,-0.178762284421653-0.027227495006850i,0.038020927306210-0.148933767124234i,0.111459895758609+0.040798086325487i,-0.036492860470315+0.074797378398474i,-0.044910910423310-0.028090462076324i,0.018900191220529-0.024060855421364i,0.011459329095389+0.011212300239680i,-0.005895345266360+0.004826532683565i,-0.001783729529204-0.002756395208401i,0.001148472285482-0.000570991521096i,0.000154573018567+0.000427021633493i,-0.000141810414411+0.000033546112451i,-0.000004931302991-0.000042077120387i,0.000011107330892+0.000000000000000i,-0.000000541062934+0.000002507508529i,-0.000001126938820-0.000001215542565i,0.000000447435122-0.000005120815112i,0.000011551558382-0.000014796629922i,0.000060519368418-0.000019338687419i,0.000186541393982+0.000060152773913i,0.000319686138597+0.000452768131237i,-0.000073186445271+0.001445858253102i,-0.002350918479235+0.002618640414635i,-0.007904249559241+0.001212380653749i,-0.014645775181091-0.008578343657470i,-0.012180078270773-0.031161995944623i,0.016648047251393-0.058440585668997i,0.079605190957704-0.062037120352544i,0.152245626178118-0.007294969424698i,0.177601773556632+0.109297699797360i,0.107859483389011+0.234269063974465i,-0.042073656540940+0.284883157742241i,-0.190694238526456+0.218682559942214i,-0.252802655191765+0.075222231917884i,-0.208486899296680-0.057757758338488i,-0.108638871331358-0.117613048750655i,-0.020891059263122-0.104670973146846i,0.021273459425085-0.059674489196479i,0.024423801359424-0.020031853832458i,0.009978140158078+0.001410029493480i,-0.007921210843188+0.009812154116540i,-0.027013341015720+0.013738491149327i,-0.050889360075376+0.017090163105376i,-0.082281070143403+0.018490998031059i,-0.119392544552253+0.013912029705100i
-0.053883837279163+0.000000000000000i,-0.057478034636197-0.010796170287831i,-0.053692335991721-0.020870709389669i,-0.043754549581210-0.027148363590452i,-0.030857474579227-0.028124131800942i,-0.018631803011998-0.024484777840598i,-0.009256648850012-0.018563448053352i,-0.002963977830870-0.011915769377861i,-0.001190404590156-0.005766817628367i,-0.001390679658157-0.005317201832983i,0.005497987864824-0.003039330277983i,-0.001039785256515+0.010188842424136i,-0.018392522941116-0.010259338096155i,0.028011165045812-0.025903002490623i,0.027902421121889+0.055916566615319i,-0.090244285006476+0.019399160211242i,0.001759594196372-0.122165944118064i,0.141136418084749+0.031897136179203i,-0.061989475319744+0.140225139988814i,-0.120048687417439-0.081994539092927i,0.086178860735377-0.088315703025312i,0.055362368463807+0.075671486978227i,-0.056766266391497+0.029046601194197i,-0.012261774811839-0.036806138888259i,0.020761454136570-0.003736120237163i,0.000446392025832+0.010227688184779i,-0.004411373008721-0.000351025917840i,0.000315964078946-0.001669702845415i,0.000556522636424+0.000155392335486i,-0.000055035792988+0.000164495318789i,-0.000043743882683-0.000014344666623i,0.000002418455584-0.000010768777538i,0.000002731560187+0.000000000000000i,0.000001018290519+0.000001086722230i,0.000002136207265+0.000004001607498i,0.000000004980139+0.000019116977990i,-0.000036681764992+0.000063320727865i,-0.000220207184875+0.000125296948110i,-0.000794418382829-0.000010363989415i,-0.001929120118170-0.001170821666375i,-0.002735284531151-0.005120489940409i,0.000628124770278-0.013510637676499i,0.015783353474007-0.023772923241790i,0.049266220801237-0.023331943679520i,0.093778276130992+0.009701151200023i,0.117352443396723+0.089524763272630i,0.075042722430833+0.195223728638804i,-0.050390039728951+0.263412366733484i,-0.211926260482742+0.227813638060051i,-0.315870658852489+0.082834388180277i,-0.294825153396654-0.095729279686626i,-0.167377456327102-0.206861916368747i,-0.019932235222007-0.205592288394890i,0.068917933845383-0.127562869958452i,0.081955227423640-0.041942908941786i,0.052461870755941+0.007630311301369i,0.019845276499135+0.019932025808593i,0.001640819195817+0.014810502851573i,-0.004503486611336+0.008839036633217i,-0.006978048474260+0.007609186253245i,-0.011552179014918+0.009806598373602i,-0.020095449232138+0.012314082691293i,-0.031837672180983+0.012396100165381i,-0.044269452066331+0.008334734624607i
-0.552872387839823+0.000000000000000i,-0.587257482211236-0.084258563431622i,-0.553350759842735-0.162530395371480i,-0.461774192092891-0.211543126726212i,-0.340283804543236-0.220146554537694i,-0.220330762699776-0.193137764988507i,-0.124321720212281-0.146164504813022i,-0.060346661756238-0.096616161123737i,-0.024376212735626-0.056347239081418i,-0.007406608321999-0.028605926072180i,-0.002362626442881-0.012855526776813i,0.000656229639038-0.007807450456619i,0.006001083193147+0.000852964045808i,-0.007859725428166+0.009787289991032i,-0.016078239391243-0.018082873488688i,0.032735401619974-0.021382657536416i,0.023579268165305+0.050845738442624i,-0.068551031618412+0.020984140309365i,-0.013449735697734-0.080889383890343i,0.084019637769803-0.002989294802618i,-0.007078780836005+0.077087324851065i,-0.062595216269626-0.013819797347832i,0.016029603693481-0.045021331530708i,0.028678720707470+0.014428704745780i,-0.010815275691631+0.016161328872049i,-0.008038022609739-0.006951692688328i,0.003889698491521-0.003513955624511i,0.001340932907685+0.001911139970871i,-0.000829045344148+0.000441269023623i,-0.000122337573389-0.000318648779998i,0.000108772374759-0.000027101590154i,0.000004051037435+0.000033026447676i,-0.000008915026970-0.000000000000000i,0.000000347664079-0.000002136444465i,0.000000927490593+0.000000355915422i,0.000001734643169+0.000002283560152i,0.000002797941453+0.000012906560711i,-0.000014854347352+0.000052453986076i,-0.000140405601284+0.000141275224124i,-0.000623952653646+0.000174209747468i,-0.001824173086942-0.000466328186767i,-0.003496784042200-0.003438032196054i,-0.002999594864568-0.011069815928630i,0.006346258201280-0.023275643931741i,0.032710885590659-0.031912478777707i,0.075766551522463-0.018647913051447i,0.115159242459676+0.034370413936903i,0.113904862592457+0.122230720010907i,0.045920067777005+0.204677211034831i,-0.071966169262519+0.226794334761731i,-0.180567365923275+0.164007776146108i,-0.220960035230244+0.047883986333044i,-0.180562328005240-0.057413643151367i,-0.097278269835353-0.105413969729458i,-0.022448134195531-0.094904870027997i,0.016172893652659-0.055544697040734i,0.020680031641594-0.016157887033079i,0.005176092137475+0.012783102377408i,-0.022236462101453+0.035584230406862i,-0.064575300498908+0.059144624849734i,-0.130524684770732+0.084007728952314i,-0.225300195761051+0.102034954204637i,-0.342706820590327+0.099786152083586i,-0.462041596475539+0.066000607438595i
0.210397749217420+0.000000000000000i,0.236245506791518+0.022793710624885i,0.238792602314222+0.046236563945482i,0.217313197805023+0.063745509572946i,0.178024614976966+0.070854130698743i,0.131070935866535+0.066884032299208i,0.086971624179689+0.054505882681325i,0.052912228339200+0.040188317179208i,0.025690775982016+0.028371168725783i,0.007570954975253+0.008441870912993i,0.022046837266340-0.001420988618352i,0.012332053017451+0.040204829415792i,-0.069718388516904+0.005215736552158i,0.018594862316072-0.116233485510369i,0.168150322307962+0.063302011474423i,-0.130338585413149+0.209981301700225i,-0.226153985982339-0.209003877948666i,0.278723952345898-0.207522795534738i,0.157780858148398+0.318017645847480i,-0.314985708309011+0.092666215575193i,-0.031950084561537-0.273042011073344i,0.208129821562078+0.010104560243911i,-0.029667593553911+0.139884102188421i,-0.082992917009334-0.031716418408692i,0.024692552064218-0.043460252849358i,0.020056278742422+0.015693402983400i,-0.008485689247059+0.008129063690462i,-0.002875645548363-0.003982075603190i,0.001640076395608-0.000877677576197i,0.000225942917160+0.000597071374614i,-0.000193063266998+0.000046566203100i,-0.000006505595293-0.000055631111968i,0.000014214002844+0.000000000000000i,-0.000000881014392+0.000002973510154i,-0.000001826667585-0.000002747336856i,0.000001976332382-0.000011929167079i,0.000030822465124-0.000033808022716i,0.000153458735900-0.000040228110469i,0.000473819038821+0.000156286059391i,0.000892197801015+0.001108251100157i,0.000381922871358+0.003658802311600i,-0.003900191725262+0.007691630035535i,-0.015827512903801+0.009244789054884i,-0.035285288200551-0.001549736592686i,-0.050347890608561-0.035657171241838i,-0.036444998992006-0.090637336890023i,0.026488446337276-0.137682355687134i,0.126011168074789-0.131847964318861i,0.209103202588816-0.050011669368319i,0.216578152205560+0.076455761142021i,0.135625853023395+0.176156893546155i,0.015432315223825+0.194362152954416i,-0.074229241790362+0.135959430768708i,-0.098389649728803+0.052362093099471i,-0.072254931031244-0.007174841939494i,-0.032770856633919-0.027894366128242i,-0.004959988012316-0.023860056133948i,0.007985749779941-0.014643261181205i,0.015018260734532-0.010706253352749i,0.025834043414566-0.013138387671211i,0.046389144637365-0.018833989227332i,0.078825543949017-0.023800588726373i,0.121534606002889-0.024076507936216i,0.168614336504052-0.016464648712815i
0.206708651186362+0.000000000000000i,0.238631283139091+0.027313031282942i,0.245630548772704+0.058418183290250i,0.224839451689314+0.084015869871010i,0.182489469262597+0.096331983400290i,0.130629685093037+0.092855823182607i,0.081987981288343+0.076346616064038i,0.046510325397029+0.054654441429666i,0.022445935960021+0.038568136739350i,0.000137241987312+0.020422192877631i,0.004342456509160-0.007283249150903i,0.030246771741152+0.014270248643089i,-0.028762172970724+0.046204882118626i,-0.055469663447091-0.060635582264864i,0.106512755877730-0.052478755531728i,0.027610146967251+0.156886078766786i,-0.197631385957308-0.021644740435333i,0.086282168979585-0.213834882536617i,0.197718121577262+0.148191787005735i,-0.188213532163740+0.153759100722894i,-0.096695374063956-0.195584284703959i,0.172553091464673-0.043772084104894i,0.006661569716146+0.131469802494748i,-0.087248783719826-0.011980920115938i,0.016488192919753-0.050634777369028i,0.025719392628709+0.013587456707608i,-0.008701542127704+0.011411021191774i,-0.004397900297404-0.004640822875380i,0.002121140970052-0.001456034318137i,0.000404833181691+0.000842947606889i,-0.000293638433587+0.000089699288857i,-0.000013376144587-0.000090085574735i,0.000024374995196-0.000000000000000i,-0.000000995430330+0.000005736796947i,-0.000001387295491-0.000001165054035i,0.000001787209584-0.000003207785023i,0.000012514348039-0.000004732165804i,0.000045660065477+0.000015088885870i,0.000087249870262+0.000132976349752i,-0.000037024054700+0.000479628538480i,-0.000875910146017+0.000995702106238i,-0.003244950555967+0.000716337758114i,-0.006947766463396-0.002966989265724i,-0.008216719154940-0.013216366422136i,0.001335361295854-0.028993006599419i,0.029276095551947-0.039272003657712i,0.070448936013740-0.025115060180384i,0.100364297406213+0.024472509487798i,0.088507197525759+0.093951232088463i,0.026785701362319+0.143413226851532i,-0.055541193816477+0.138461980277603i,-0.111711608318815+0.081062745031888i,-0.115254740190567+0.008128023458372i,-0.077499934997290-0.040670719618557i,-0.030647169688676-0.051666261822349i,0.000784170275571-0.037703483180947i,0.012496917159222-0.019004447122215i,0.013509485336346-0.007538859381920i,0.014411155922350-0.005044700920430i,0.021954572529766-0.008588448975353i,0.039705565371581-0.014919857184503i,0.069561186043831-0.021051330491015i,0.111190848419100-0.023270859454688i,0.160090655973160-0.017238613678469i
0.263838996815937+0.000000000000000i,0.275313121460790+0.051489920954487i,0.251615543837343+0.096460590652757i,0.201058873059931+0.121417670687796i,0.139858504913416+0.121709170202531i,0.083982106976796+0.102467313407357i,0.042858697823190+0.074198759374026i,0.017986571759308+0.046854817982168i,0.005556972948405+0.026025850737844i,0.000602845001715+0.012422453213682i,0.000157214034433+0.004729863360268i,0.001297894698814+0.003133625927206i,-0.002126190007854+0.004215336663965i,-0.006508870774876-0.003051108087451i,0.005252085606156-0.010538462952236i,0.015778981434438+0.007964681905483i,-0.011081398443768+0.021182225527652i,-0.025565534391667-0.014230295336314i,0.016752082634583-0.027747011943907i,0.027049716691915+0.017977322602794i,-0.017510531750735+0.023656663541999i,-0.018534932830770-0.015428259884039i,0.012265337907068-0.012989012728605i,0.008125608013563+0.008782256590700i,-0.005656689748077+0.004526227731673i,-0.002237358416416-0.003274883701591i,0.001703269348789-0.000976611834181i,0.000373609393975+0.000795589017529i,-0.000333681424854+0.000123692716455i,-0.000034612185761-0.000125650700217i,0.000042476505720-0.000007763519046i,0.000001182494016+0.000012883777841i,-0.000003468041575-0.000000000000000i,0.000000224920662-0.000000685156281i,0.000000044338685+0.000001203451763i,-0.000004436664974+0.000003736232450i,-0.000025748331173+0.000000059501919i,-0.000082090698728-0.000062428227206i,-0.000107780924235-0.000353435963835i,0.000360720468220-0.001127777683623i,0.002665696849629-0.002107633320927i,0.008716550629681-0.000755019643931i,0.017865694233229+0.009508600502480i,0.020620159739470+0.036724852858884i,-0.004280994794996+0.078828519907440i,-0.077158273853927+0.108826334595546i,-0.187791284366177+0.078144967396341i,-0.276300421799818-0.045460519059708i,-0.262173966716125-0.229242723338146i,-0.115194626190439-0.374190277774916i,0.099805300815992-0.385311171828301i,0.263634186207706-0.253954906762642i,0.297448080261582-0.065729985363094i,0.216958487048652+0.074364135560266i,0.099773978632735+0.119814992035343i,0.013822135146814+0.093802281208512i,-0.020942196182161+0.045031708587296i,-0.019915960241445+0.005100714040654i,-0.003271625930750-0.020715464835060i,0.020881803243230-0.039521592618853i,0.054996505832121-0.056027190224257i,0.102912528170905-0.067172408578843i,0.162144426311565-0.064819682670913i,0.221358507924826-0.042189838397519i
0.033769054369122+0.000000000000000i,0.051762554071212+0.013910669227660i,0.062737943895433+0.031364165666942i,0.062998691192394+0.046771288795610i,0.053265343146234+0.054954182688770i,0.037778422266462+0.053789669590234i,0.022127562546738+0.044423910821911i,0.011723120992958+0.031780270612894i,0.004459514298173+0.023627804201490i,-0.007632375258317+0.012444377678066i,-0.000756245355032-0.011451362224961i,0.031515216182978+0.006826163248300i,-0.015988768214541+0.055150540396055i,-0.081473633727861-0.035791945636836i,0.066420624550710-0.107860128576829i,0.126845907678026+0.103225649763030i,-0.138244074337858+0.131656323504677i,-0.120128587591518-0.161865856550543i,0.166984488366732-0.095771860440315i,0.066030292371274+0.152550531022672i,-0.123873339275010+0.038662689390527i,-0.018539462297320-0.089673438608787i,0.058030088496530-0.006632672812990i,0.001143627340882+0.033664995514524i,-0.017566065423178-0.000591407864127i,0.000719161989644-0.008277905099185i,0.003541221028383+0.000435923729401i,-0.000193369059983+0.001383864617249i,-0.000497513683436-0.000067399348155i,0.000018561447892-0.000165692149557i,0.000051397127912+0.000003866470480i,-0.000000513743439+0.000014887236082i,-0.000004025003282-0.000000000000000i,-0.000000013910607-0.000001017084199i,0.000000386442732+0.000000049219272i,0.000000694225547+0.000001114875688i,0.000000022658530+0.000007292879678i,-0.000017744317866+0.000029365859653i,-0.000121794201191+0.000065077675675i,-0.000484686504372-0.000019074854504i,-0.001270042959665-0.000805251459050i,-0.001925050016796-0.003668691270792i,0.000373071623745-0.010182562672216i,0.011809045546034-0.019081833883829i,0.038901631898155-0.021311050351022i,0.078820946226398+0.000970361987795i,0.109199403135278+0.063087062773751i,0.093053599262700+0.156219067050015i,0.006948439492415+0.236376660652111i,-0.127352985590011+0.246671687205016i,-0.244568974728917+0.163785482808529i,-0.280952178306352+0.024749717131569i,-0.223851755010905-0.097938810659630i,-0.117407440858898-0.151219996649147i,-0.022220271778669-0.133806140566293i,0.027891404518883-0.082061207526652i,0.035996714864237-0.033782453961568i,0.023233652258821-0.005879960486073i,0.007638954010007+0.003695507238753i,-0.003149624656495+0.003388118940805i,-0.008061930709902-0.000519265117557i,-0.007118322198396-0.005027949658594i,0.000465207021929-0.008123722512651i,0.014894567633303-0.007250561443966i
-0.342342199586795+0.000000000000000i,-0.360847458418602-0.078472837130838i,-0.329719672898558-0.150779869796427i,-0.259140636539721-0.194576513863151i,-0.172208466943113-0.199753723290938i,-0.093044245043976-0.171841940261389i,-0.036754713172167-0.126515359464088i,-0.006011759507719-0.081150405680730i,0.007622123228867-0.046003189150357i,0.010219334848873-0.018217857839793i,-0.003233426459986-0.005733128704107i,0.000060449860770-0.023246816615520i,0.040180158997252+0.000567924700434i,-0.014469026102369+0.065208358395599i,-0.096413435134718-0.041550651915090i,0.081783987161056-0.124497097753950i,0.139447027026686+0.130285104203064i,-0.175772166255229+0.134361765108365i,-0.109139197161376-0.204889818556459i,0.208630590434392-0.071306888389476i,0.032448053928388+0.186770636279613i,-0.147550678964445+0.002538882021689i,0.014034093202798-0.103073062274049i,0.063709851226309+0.018719314962258i,-0.016154046205878+0.034823575007464i,-0.016799275010264-0.011034352729524i,0.006330427452566-0.007125159257171i,0.002639088543743+0.003129334489490i,-0.001350729642577+0.000843416283124i,-0.000227228329023-0.000512976884153i,0.000172208381523-0.000048952840994i,0.000007138250745+0.000051230867199i,-0.000013389338708-0.000000000000000i,0.000001076421197-0.000002766227402i,0.000002081558378+0.000003345127672i,-0.000002237336100+0.000014240273929i,-0.000035589092265+0.000039737758890i,-0.000174084867963+0.000046915639873i,-0.000524483976718-0.000171302487825i,-0.000954879345559-0.001193949283620i,-0.000353602355850-0.003819929054820i,0.004118868715657-0.007685084870434i,0.015823038421390-0.008485924914390i,0.033351936244980+0.003235609135494i,0.043787915487454+0.036016186376371i,0.024723193442819+0.083428982351902i,-0.036873227706723+0.115450767045011i,-0.120947019176721+0.094171758835223i,-0.175859052753631+0.010346855243941i,-0.157277119418578-0.095665951573337i,-0.070901182640978-0.160027475912011i,0.028863677291701-0.148739908477321i,0.085836010372929-0.083125344540637i,0.084913783543573-0.013559127016608i,0.051112906247540+0.025023758306749i,0.017349034199738+0.031414556891868i,-0.000903501052396+0.024245594033540i,-0.007144844260977+0.021058949341320i,-0.012915322139125+0.029449040661029i,-0.029534118995872+0.048758503865965i,-0.065452320968045+0.073026055185271i,-0.124415797383055+0.091739596380685i,-0.201841152587369+0.091427104021700i,-0.282241074328541+0.061118104973464i
0.118605688302010+0.000000000000000i,0.110274107371468-0.001957535615653i,0.093490617350794-0.008995990290287i,0.073883172756180-0.018167471924245i,0.055938462366986-0.025265429871899i,0.041767885213831-0.027303922162151i,0.030717968808372-0.023284033513057i,0.019559210674643-0.017005590306341i,0.013526144975602-0.016014608698172i,0.020404644066959-0.005401177409823i,-0.000300912800587+0.021633684854322i,-0.041555915258903-0.018023407598692i,0.042292735446256-0.069920086957304i,0.096973926512957+0.080851076799700i,-0.133891767360928+0.116137398032694i,-0.119277307807348-0.191505311138992i,0.238628567428650-0.101758642218144i,0.067166909884404+0.260840299852882i,-0.251047603349313+0.026245226861288i,0.008559489136528-0.213169635290630i,0.159838451767610+0.029154658135125i,-0.034617020828748+0.105850476079556i,-0.061887244288353-0.029606136165962i,0.020441932098070-0.031926702201535i,0.014529644933297+0.011844913741939i,-0.005851732419017+0.005841058012380i,-0.002085749019926-0.002477955838072i,0.000897779651159-0.000671386110767i,0.000201045065259+0.000275657640443i,-0.000070138014080+0.000058942550160i,-0.000017798165266-0.000014015458308i,0.000001837456189-0.000005572149819i,0.000001641819586+0.000000000000000i,-0.000000361763304+0.000000271715364i,-0.000001427465170-0.000001924666525i,-0.000000861548632-0.000009752787809i,0.000014666158208-0.000033792718031i,0.000099301433186-0.000077530723676i,0.000385178824875-0.000063217914771i,0.001032787022987+0.000364549959519i,0.001850512954188+0.002077855137950i,0.001406953988388+0.006241526209795i,-0.003759327520509+0.012770701467565i,-0.017912531521903+0.017517950608468i,-0.041184257447296+0.011026909421755i,-0.063470627268352-0.016451804375097i,-0.065286392982258-0.063514997469206i,-0.031354594449894-0.109838637099517i,0.031522984075365-0.125320880151509i,0.092181856965544-0.094161288203071i,0.116826407970533-0.031480054010674i,0.096162209291612+0.027115388250578i,0.050582410379686+0.054101020193333i,0.009790397398334+0.048105266234861i,-0.010089124774179+0.026840622200122i,-0.011357802136473+0.007895009226495i,-0.003996381313270-0.002364693583008i,0.005397658853057-0.006527093311687i,0.016361220246289-0.008891152076825i,0.031336888079730-0.011224677560195i,0.051752552953884-0.012707507098523i,0.075911613100603-0.011764193951016i,0.098953873088701-0.007947459810895i,0.114692254339417-0.002937236410857i
-0.121255712639741+0.000000000000000i,-0.151070177993122-0.019436984756845i,-0.165003045382501-0.044155381318287i,-0.157991225097730-0.066579884001531i,-0.132436514818220-0.079187239250894i,-0.096929926116814-0.078437113060905i,-0.061838624523750-0.066495459721400i,-0.033695500708898-0.049662510787949i,-0.013070633897079-0.031487992150049i,-0.005651487424912-0.011510850587260i,-0.015789767581436-0.009817376533479i,0.005018314522748-0.033930202846025i,0.056767378411476+0.014087284269982i,-0.037342033331922+0.094223495069195i,-0.140823938089882-0.075633450347521i,0.130382315173745-0.185538243526298i,0.215102916829595+0.195690306704455i,-0.257460655375456+0.217985261578201i,-0.190651236946541-0.298328911689838i,0.305434162986131-0.140536413086796i,0.082808316007389+0.276841163031676i,-0.222370839623952+0.032961618604610i,-0.000158735703728-0.158327470449967i,0.099867205880079+0.014849031280640i,-0.017145283601925+0.055724645661816i,-0.027434308244811-0.013302196233393i,0.008229962547087-0.011865447344587i,0.004476259208622+0.004281817512799i,-0.001917317492948+0.001454856111414i,-0.000397906805116-0.000747769720055i,0.000255681180900-0.000086834590473i,0.000012729938689+0.000076941184517i,-0.000020593554590+0.000000000000000i,-0.000000056898891-0.000005301628456i,-0.000001035275052-0.000003824947488i,0.000001965216375-0.000018921586718i,0.000044500412882-0.000056844493141i,0.000230592973590-0.000084260050721i,0.000739747790993+0.000153008055628i,0.001529257221627+0.001443493192357i,0.001379676749517+0.005112907894393i,-0.003390488368128+0.011576174268756i,-0.018349803227973+0.016752547734023i,-0.045381346190249+0.009053175488240i,-0.073379562939608-0.026179252145364i,-0.075692698499775-0.091237685435700i,-0.026250498653445-0.160865722555758i,0.071949650358591-0.189240722899663i,0.175301886502073-0.144464371690294i,0.226535925506966-0.041071684957718i,0.200103541276458+0.066409596031450i,0.120631168179331+0.126194941340208i,0.037452786508338+0.125418641763827i,-0.014639844354961+0.087880713902579i,-0.031279008026249+0.045596132185768i,-0.026877027566778+0.016517735635725i,-0.016702882007166+0.002455266839771i,-0.008779716359710-0.001957888109320i,-0.005284788483592-0.001765929866171i,-0.006537076306961+0.000578240683394i,-0.013506604532513+0.004349093458119i,-0.028220842857801+0.008844836395096i,-0.052432457526962+0.012006144697212i,-0.085248929867590+0.010236397619707i
